Catalogusnummer,oudnummer_1,oudnummer_2,oudnummer_3
"42918","D.O.W. 280 K","T.A. Biltstraat 1950 (16)","T.A. Eb 23.30"
"54941","T.A. Catharijnekade 1928 (1)","T.A. Ec 2.10",
"65415","T.A. En 14.12","T.A. Nieuwe Kade 1931 (D)",
"74844","T.A. Zwarte Water ± 1925","Ez 12 37",
"64682","T.A. Neude 8-10 1962","T.A. En 6.44.1",
"92712","T.A. 2530",,
"63183","T.A. Maliebaan 50 c. 1930 (5)",,
"69855","T.A. Schalkwijkstraat  20  1980  (1)",,
"45808","D.O.W. 860 O",,
"61560","T.A. Lange Lauwerstraat 17-17bis 1974 (2)",,
"91365","Doos 67, nr. 63",,
"90167","Doos 6, nr. 15",,
"82548","T.A. Hp 95.3",,
"72458","T.A. Van Vollenhovenlaan 659-687 1997 (2)",,
"76480","T.A. V 5.80.2",,
"55077","T.A. Catharijnesingel 62 c. 1960 (1)",,
"44856","D.O.W. 621 A",,
"42297","D.O.W. 193 I",,
"74161","T.A. Wittevrouwenstraat 9-11 1980 (7)",,
"51114","T.A.. Abstederdijk 202/207 bis-217 1980 (1)",,
"67141","T.A. Oudegracht  (Weesbrug - Smeebrug) 1934 (1)",,
"57247","T.A. Geertestraat 26-28 bis (1) 1974",,
"64791","T.A.  Nicolaasdwarsstraat  10   1983  (1)",,
"40365","D.O.W. 10 Bd",,
"73862","T.A. Willemstraat 18-18bis 1975",,
"45253","D.O.W. 682 Af",,
"44088","D.O.W. 498",,
"90594","Doos 59, nr. 66",,
"74767","T.A. Zuilenstraat 15 1991 (1)",,
"94590","T.A. Muller 1442-3",,
"69044","T.A. Potterstraat 1922 A",,
"45575","D.O.W. 778 Aj",,
"51576","T.A. Van Alphenplein c. 1950 (1)",,
"77796","T.A. Zi 1.15",,
"81802","T.A. Ja 3.6 (b)",,
"85356","Verzameling 174",,
"61721","T.A. Lange Nieuwstraat 77 1987 (1)",,
"70420","T.A. Springweg 61 1974",,
"66997","T.A.  Oudegracht 159 (Bakkerbrug-Stadhuisbrug) 1957 (1)",,
"85493","Verzameling 174",,
"80014","T.A. Nd 11 (c)",,
"43095","D.O.W. 323 At",,
"81391","T.A. Jc 2.46.3",,
"56428","T.A.  Van der  Duynstraat  8   1988  1",,
"57049","T.A. Gasthuisstraat 14-16 1977 (1)",,
"40738","D.O.W. 48 Y",,
"43489","D.O.W. 379 J",,
"88567","Doos 25, nr.62",,
"69744","T.A. Rijnkade c. 1910 (3)",,
"69421","T.A. Weg naar Rhijnauwen 13 1933 (1)",,
"86479","Verzameling 219 (181)",,
"46029","D.O.W. 906",,
"92741","T.A. 2553",,
"59987","T.A. Kapelstraat  78A-lager   1989  (1)",,
"88412","Doos 26, nr. 59",,
"89487","Doos 33, nr.71",,
"78062","T.A. Zk 9.21",,
"93444","T.A. 1979-345",,
"52361","T.A. Van Asch van Wijckskade 31-33 1985 (1)",,
"63949","T.A.   Marshallaan  139     1986  (1)",,
"66041","T.A. Omloop c. 1965 (6)",,
"42292","D.O.W. 193 B",,
"51533","T.A. Agnietenstraat 4-8 1989 (1)",,
"59735","T.A. Kanaalstraat  63-lager 1989 (1)",,
"78190","T.A. Zk 18.35d",,
"67362","T.A. Oudegracht (Hamburgerbrug-Weesbrug) c. 1906 (1)",,
"90043","Doos 28, nr. 52b",,
"82770","T.A. He 32.2",,
"74145","T.A. Wittevrouwenstraat 1992 (1)",,
"74752","T.A. Zuilenstraat 3 1989 (1)",,
"14052","AC 12-229--2",,
"71877","T.A. Vaartsestraat 67-71 1989 (1)",,
"90915","Doos 36, nr. 15",,
"24917","T.A. Stationsplein 1971 (10)",,
"78820","T.A. Sa 14.8 (A)",,
"55770","T.A. Dickenslaan 33-hoger c. 1957 (1)",,
"86151","Verzameling 203 (20)",,
"92212","T.A. 1979.108",,
"56307","T.A. Drift 15 1979 (1)",,
"73316","T.A  Waterstraat 1975 (1)",,
"84913","T.A. Cg 18.1",,
"57137","T.A. Geertebolwerk 1 1992 (5)",,
"56103","T.A. Dongestraat 2-4 1991 (1)",,
"63696","T.A. Mariaplaats 27 1980 (1)",,
"80371","T.A. Na 3.49 (e)",,
"70318","T.A. Spaaklaan 149-lager 1987 (1)",,
"92820","H.A. V 45.5.11.3",,
"89565","Doos 65, nr.18",,
"91251","Doos 31, nr. 28",,
"42366","D.O.W. 197 G (2)",,
"80077","T.A. Nd 40",,
"52179","T.A. Andreasstraat 10 1988 (1)",,
"40574","D.O.W. 43 Ak",,
"58867","T.A. Isotopenweg 3 1984 (7)",,
"89260","Doos 10 nr.16",,
"76130","T.A. U 2.88",,
"77569","T.A. Zf 2.17F",,
"71849","T.A. Vaartse Rijn 1973 (5)",,
"51810","Verzameling 199 (26)",,
"65826","T.A. Alexander Numankade 91-93 1984 (2)",,
"89748","Doos 65, nr. 21",,
"81045","T.A. Kc 3.5  (A)",,
"83492","T.A. F 15.16 (B)",,
"51661","T.A. Amsterdamsestraatweg 1932 (4)",,
"92771","T.A. 1189-7",,
"59886","T.A. Kanaalweg 57-58 1987 (1)",,
"78294","T.A. Zl 12m",,
"44508","D.O.W. 572 C",,
"58330","T.A. Herenweg 49-51 1975 (1)",,
"23496","12.10-5.6",,
"65287","T.A.  Nieuwegracht  133  (Magdalenabrug-Agnietenstraat)   1978  (1)",,
"71056","T.A. Sterrenhof 1980 (1)",,
"54524","T.A. Breedstraat 23 1974 (1)",,
"91863","Doos 64, nr. 58",,
"64957","T.A. Nieuwegracht 16 (Pausdam-Paulusbrug) 1973 (1)",,
"69995","T.A. Franz Schubertstraat 37-lager 1991 (1)",,
"43652","D.O.W. 412",,
"81960","T.A. Ja 6.12",,
"55029","T.A. Catharijnesingel 1988 (3)",,
"45674","D.O.W. 819 B",,
"91289","Doos 27, nr. 64",,
"72143","T.A. Vismarkt 1983 (1)",,
"87641","Verzameling 172 (860)",,
"70466","T.A. Springweg 111 1974",,
"76258","T.A. U 2.143  (D)",,
"70478","T.A. Springweg 149 1982 (1)",,
"72703","T.A. Voorstraat 8-12 c. 1905 (1)",,
"62881","T.A. Magdalenastraat 11 1989 (1)",,
"87754","T.A. Jd 5.1","Verzameling 191 (23)","T.A. Jd 2.39.1"
"41473","D.O.W. 135 K","T.A. Vredenburg 1925 (1)","T.A. Ev 18.44"
"42032","T.A. D.O.W. 160","T.A. Adelaarstraat c. 1930 (1)","T.A. Ea 13.2"
"67189","T.A. Eo 15.496","T.A. Oudegracht  (Stadhuisbrug - Gaardbrug) 1938 (3)","T.A. Oudegracht (Gaardbrug - Hamburgerbrug) c. 1947"
"58680","T.A. Houtplein vóór 1957, 1960","T.A. Eh 35.2","Verzameling 172 (182)"
"87810","T.A. Jd 5.1","Verzameling 113","Verzameling 191 (80)"
"79196","T.A. Rc 4.1","Verzameling 172 (119)","D.O.W. 741 D"
"41225","D.O.W. 114 B","T.A. La 7.14","D.O.W. 114 M"
"59371","T.A. Ej 10.104","T.A. Janskerkhof 13 1943 (1)","Verzameling 200 (8-43)"
"42913","D.O.W. 280 F","T.A. Biltstraat 1950 (2)","T.A. Eb 23.2"
"67226","T.A. Oudegracht 172 (Stadhuisbrug-Gaardbrug) 1977 (1)","T.A. Gd 3.6.6.3",
"62038","T.A. Lange Viestraat 8-10 1903 (1)","El 17.18",
"64467","T.A. En 1.4","T.A. Nachtegaalstraat 1905-1910 (D)",
"61757","T.A. Lange Nieuwstraat nr. 119 1931","T.A. El 13.27",
"66886","T.A. Oudegracht  (Bezembrug-Stadhuisbrug) ± 1911 (1)","Eo 15396",
"41439","T.A. Mariaplaats 1972 (1)","D.O.W. 130 M",
"43432","D.O.W. 374 O","T.A. Jc 2.54 (7)",
"70809","Verzameling 200 (4-46)","T.A. Stationsplein 1944",
"51455","T.A. Adelaarstraat 1963 (1)","T.A. Ea 13.7",
"41202","D.O.W. 111 B","T.A. Wilhelminapark 65 c. 1925 (2)",
"72898","T.A. Vredenburg 1926 (1)","Ev 18 45",
"43319","D.O.W. 362 A","T.A. U 2.113 (c)",
"60378","T.A.  Koekoeksplein   1912","T.A.  Ek  21.1",
"55625","T.A. 1e Daalsedijk 1932 (2)","T.A. Ed 1.5",
"44345","D.O.W. 554 B","Verzameling 172 (322)",
"66915","T.A. Oudegracht  (Bakkerbrug-Stadhuisbrug) 1956","Eo 15319",
"62254","T.A. El 25.1","T.A. Leidseveer c. 1900-1909",
"67179","T.A. Eo 15.459","T.A. Oudegracht  (Stadhuisbrug - Gaardbrug) 1932 (1)",
"74660","T.A. Zonstraat 1911 (A)","T.A. Ez 7.3",
