Catalogusnummer,Oudnummer
"104684","!.A.  Gemeentelijke Instellingen,  Ambachtskinderhuis  (5)"
"106535","!.A.  Steenhuisen,   J.J.  (2)"
"28371","( AC 3-5)"
"35346","(T.A. Ea 12.2)"
"35349","(T.A. Ea 12.3)"
"35348","(T.A. Ea 12.3)"
"36109","(T.A. Ea 12.3)"
"35347","(T.A. Ea 12.3)"
"154781","-"
"150898","-"
"154167","-"
"155120","-"
"154494","-"
"155125","-"
"155127","-"
"150899","-"
"154493","-"
"155128","-"
"155061","-"
"155110","-"
"154450","-"
"155112","-"
"155167","-"
"155119","-"
"150897","-"
"155169","-"
"155123","-"
"154490","-"
"154491","-"
"154448","-"
"154492","-"
"154495","-"
"155168","-"
"155269","-"
"155126","-"
"155121","-"
"154449","-"
"154166","-"
"155166","-"
"150896","-"
"154496","-"
"155124","-"
"155122","-"
"154451","-"
"154489","-"
"92221","."
"92222","."
"92220","."
"92219","."
"92218","."
"93411",".A. 1979-335"
"93412",".A. 1979-336"
"93413",".A. 1979-337"
"93414",".A. 1979-338"
"93416",".A. 1979-339"
"93415",".A. 1979-381"
"92336",".A. 1984.080"
"92624",".A. 2349"
"92223",".T.A. 2679"
"161788","004 002"
"161386","004 014"
"165745","013/5"
"164745","01502"
"164744","01511"
"152738","022.9"
"152737","022.9"
"152739","022.9"
"152731","022.9"
"152735","022.9"
"152736","022.9"
"152733","022.9"
"152732","022.9"
"152734","022.9"
"152761","022.90"
"152762","022.90"
"152748","022.90"
"152742","022.90"
"152757","022.90"
"152754","022.90"
"152747","022.90"
"152758","022.90"
"152753","022.90"
"152746","022.90"
"152763","022.90"
"152760","022.90"
"152751","022.90"
"152745","022.90"
"152744","022.90"
"152740","022.90"
"152743","022.90"
"152741","022.90"
"152752","022.90"
"155199","022.90"
"152749","022.90"
"152759","022.90"
"152756","022.90"
"155198","022.90"
"152750","022.90"
"152755","022.90"
"155205","022.91"
"152771","022.91"
"152774","022.91"
"152770","022.91"
"152764","022.91"
"152781","022.91"
"152776","022.91"
"152782","022.91"
"152766","022.91"
"152784","022.91"
"152765","022.91"
"155197","022.91"
"152780","022.91"
"155196","022.91"
"152777","022.91"
"152785","022.91"
"152775","022.91"
"152783","022.91"
"152786","022.91"
"152779","022.91"
"152778","022.91"
"155195","022.91"
"152768","022.91"
"152769","022.91"
"152772","022.91"
"152767","022.91"
"152773","022.91"
"155204","022.91.691.1"
"152787","022.92"
"152792","022.92"
"152791","022.92"
"152788","022.92"
"155201","022.92"
"152789","022.92"
"152790","022.92"
"152656","022.93"
"152666","022.93"
"152668","022.93"
"152639","022.93"
"152667","022.93"
"152637","022.93"
"152651","022.93"
"152645","022.93"
"152653","022.93"
"152640","022.93"
"152643","022.93"
"152649","022.93"
"152646","022.93"
"155165","022.93"
"152657","022.93"
"152642","022.93"
"152662","022.93"
"152661","022.93"
"152641","022.93"
"152655","022.93"
"152648","022.93"
"152650","022.93"
"152652","022.93"
"152664","022.93"
"152658","022.93"
"152647","022.93"
"152663","022.93"
"152638","022.93"
"152665","022.93"
"152659","022.93"
"152660","022.93"
"152654","022.93"
"152644","022.93"
"152798","022.94"
"152796","022.94"
"152799","022.94"
"152797","022.94"
"152800","022.94"
"152801","022.94"
"152794","022.94"
"152795","022.94"
"152802","022.95"
"152803","022.95"
"152816","022.97"
"152815","022.97"
"152822","022.97"
"152805","022.97"
"152818","022.97"
"152804","022.97"
"152809","022.97"
"152810","022.97"
"152811","022.97"
"152817","022.97"
"152807","022.97"
"152820","022.97"
"152813","022.97"
"152808","022.97"
"152806","022.97"
"152821","022.97"
"152819","022.97"
"152812","022.97"
"152823","022.97"
"152814","022.97"
"152830","022.98"
"152827","022.98"
"152829","022.98"
"155202","022.98"
"152826","022.98"
"152828","022.98"
"152825","022.98"
"152824","022.98"
"152850","022.99"
"152842","022.99"
"152831","022.99"
"152849","022.99"
"152841","022.99"
"152840","022.99"
"152836","022.99"
"152843","022.99"
"152845","022.99"
"152834","022.99"
"152832","022.99"
"152848","022.99"
"152844","022.99"
"152833","022.99"
"152838","022.99"
"152837","022.99"
"152847","022.99"
"152839","022.99"
"152835","022.99"
"152846","022.99"
"501074","07.01.15"
"501076","07.01.16"
"501077","07.01.17"
"501047","07.01.21"
"501049","07.01.21"
"501051","07.02.01"
"501082","07.03.01"
"501083","07.03.02"
"501046","07.03.03"
"501045","07.05.03"
"501078","07.05.04"
"501079","07.05.05"
"170055","08 044"
"161331","08 562"
"501091","08.01.03"
"501093","08.01.05"
"501094","08.01.06"
"501084","08.01.07"
"501092","08.01.07"
"501085","08.02.02"
"501086","08.02.03"
"404912","08.1"
"161395","08.930"
"161940","09 635"
"109097","1-8"
"108674","1."
"829026","1."
"108675","1."
"24053","1.0-1.1"
"24054","1.1-1.1"
"24062","1.10-1.1"
"24063","1.11-1.1"
"24064","1.12-1.1"
"24065","1.13-1.1"
"24066","1.16-1.1"
"24057","1.18-1.1"
"24067","1.19-1.1"
"24055","1.2-1.1"
"24068","1.21-1.1"
"24069","1.22-1.1"
"24070","1.24-1.1"
"24071","1.25-1.1"
"24076","1.27-1.3"
"24077","1.28-1.3"
"24072","1.30-1.2"
"24075","1.31-1.2"
"24073","1.32-1.2"
"24074","1.33-1.3"
"23356","1.34-2.3"
"24082","1.35-1.5"
"24080","1.36-1.5"
"24081","1.37-1.5"
"24056","1.4-1.1"
"24345","1.4-22-8.1"
"24346","1.4-23-8.1"
"24105","1.6"
"24059","1.6-1.1"
"24060","1.8-1.1"
"24061","1.9-1.1"
